bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot_Values	Plot	NumberofPages	Publishing_Date	Characters	Setting	Url
Cocktail Time	Uncle Fred #3	P.G. Wodehouse	4.14	1938	205	{5: '720', 4: '827', 3: '341', 2: '41', 1: '9'}	"If Lord Ickenham had not dislodged the hat of Beefy Bastable with a well-aimed Brazil nut, the latter's famous legal mind might never have been stimulated to literature. But the incident provoked Beefy to write an expose of the younger generation."""	304	October 21st 2004	['Pongo Twistleton', 'Frederick Altamont Cornwallis Twistleton', 'Cyril Grooly', 'Jonathan Twistleton Pearce', 'Raymond Bastable', 'Cosmo Wisdom', 'Albert Peasemarch', 'Phoebe Wisdom', 'Barbara Crowe', 'Belinda Farringdon', 'Mr. Prestwick', 'Howard Saxby', 'Gordon Carlisle', 'Gertrude Carlisle', 'Nannie Bruce', 'Arthur Popworth', 'Benjy', 'Rupert Morrison', 'Bates', 'Coggs', 'Egbert', 'Barmy Phipps', 'Augustus Popgood', 'Mrs. Keating', 'Marlene', 'Norbury-Smith']		https://www.goodreads.com/book/show/16241186-cocktail-time
White Hot		Sandra Brown	3.93	11620	593	{5: '3501', 4: '4584', 3: '2892', 2: '535', 1: '108'}	When she hears that her younger brother Danny has committed suicide, Sayre Lynch relents from her vow never to return to Destiny, the small Louisiana town in which she grew up. She plans to leave immediately after the funeral, but instead soon finds herself drawn into the web cast by Huff Hoyle, her controlling and tyrannical father, the man who owns the town’s sole industry, an iron foundry, and in effect runs the lives of everyone who lives there.As she feared, Sayre learns that nothing has changed. Her father and older brother, Chris, are as devious as ever, and now they have a new partner-in-crime, a canny and disarming lawyer named Beck Merchant, who appears to be their equal in corruption. Soon, Sayre is thrown in closer contact with Beck and becomes convinced that something more sinister is at play than her father’s usual need to dominate people and events. As she sets out to learn just what did happen to Danny, she comes to realize that there are many secrets in Destiny—secrets that hide decades of pain and anger, and that threaten at any moment to erupt and destroy not only her father and brother, but perhaps Sayre herself. Underneath the rigid control that the Hoyles exert over the town, trouble is brewing. Old hatreds foster plans for revenge, past crimes resurface, and a maverick deputy sheriff determines that Danny Hoyle’s death was not suicide, but murder. As tensions mount, threatening to ignite a powder keg of long-held hostility, Sayre finds herself inextricably drawn into a struggle with striking laborers, her unscrupulous father, and her own emotions over the love/hate relationship that is growing with Beck, a man apparently with his own agenda, and mysteries of his own. As she has shown in the dozens of bestselling novels in which she has combined hard-edged suspense with intense emotion, Sandra Brown is a master storyteller, and in her new novel she is at her very best.	419	August 17th 2004	['Sayre Lynch', 'Beck Merchant']	['Louisiana']	https://www.goodreads.com/book/show/710826.White_Hot
The Wuggie Norple Story		['Daniel Pinkwater', 'Tomie dePaola']	4.65	175	23	{5: '133', 4: '24', 3: '16', 2: '2', 1: '0'}	Lunchbox Louie gives his son, King Waffle, a kitten called Wuggie Norple. The kitten grows in leaps and bounds as Lunchbox Louie continues to bring home bigger and bigger animals to prove to his wife and son that Wuggie Norple is extraordinarily large. Full-color illustrations.	40	December 1st 1988			https://gc.kis.v2.scr.kaspersky-labs.com/E3E8934C-235A-4B0E-825A-35A08381A191/abn/main.css?attr=aHR0cHM6Ly93d3cuZ29vZHJlYWRzLmNvbS9ib29rL3Nob3cvNzg0NjMzLlRoZV9XdWdnaWVfTm9ycGxlX1N0b3J5
Rule No. 5: No Sex on the Bus: Confessions of a Tour Leader		Brian Thacker	3.88	419	32	{5: '139', 4: '144', 3: '97', 2: '24', 1: '15'}	Brian Thacker confesses all as he reveals the best (and worst) of 20 trips as a tour leader around Europe. He tells how he fed passengers horse meat spag bol, hamburgers made from breakfast cereal and roosters' testicles; how he left a passenger standing by the side of a motorway in France for 3 hours in his underwear clutching a purple toothbrush and how, along the way, he lost his driver, his cook, his bus, ten brightly coloured canal bikes, a large church and eventually his patience.	300	April 28th 2002			https://www.goodreads.com/book/show/439594.Rule_No_5
Paradise Stories		Dustin Heron	4.36	22	7	{5: '15', 4: '3', 3: '2', 2: '1', 1: '1'}	"Fiction. Short Stories. ""The Wright family lives in Chico with a little herd of goats and an exploded septic tank that drowns their yard, their interiors, their whole desperate souls with sewage, and that's just one of the hurdles they face in Dustin Heron's collection of linked PARADISE STORIES. In lesser hands his excremental invention might have lapsed into adolescent gross-out, Celine or Guyotat for kids. Instead it builds on strong working class foundations into a piercing cry for justice and for spiritual vision. Heron steers his Paradiso up a beautifully tilted arc that leaves his men, women, and children still struggling, but alive with the quicklime of hope"" -Dodie Bellamy."	114	January 1st 2007			https://www.goodreads.com/book/show/1999406.Paradise_Stories
Bifocal		['Deborah Ellis', 'Eric Walters']	3.59	572	61	{5: '133', 4: '185', 3: '175', 2: '47', 1: '32'}	On the White Ravens' Outstanding New International Books for Children and Young Adults list, 2008ForeWord Magazine's Book of the Year Awards Bronze Medal Winner (YA Fiction category), 2007Snow Willow Award nominee, 2008CCBC's Best Books for Kids and Teens, 2008Two bestselling authors join forces to write a powerful novel about racism.A student arrested on suspicions of terrorism. A high school torn apart by racism. Two boys from two different sets of circumstances forced to choose sides.These are the issues at the heart of Bifocal, a ground-breaking new novel for young-adults.The story is told from two different points of view. Haroon is a serious student devoted to his family. His grandparents emigrated from Afghanistan. Jay is a football star devoted to his team. He is white.One day their high school is put on lockdown, and the police arrest a Muslim student on suspicion of terrorist affiliations. He might be guilty. Or is he singled out because of his race?The entire student body fragments along racial lines and both Haroon and Jay find that their differences initially put them at odds. The Muslim students become targets and a smoke-bomb is set off near their lockers while Jay and his teammates believe they've been set-up to look like racists.Bifocal is, by no stretch, an easy book. Award-winning authors Deborah Ellis and Eric Walters deliver a serious, hard-hitting book about racism that does not talk down to young people.	273	October 1st 2007			https://www.goodreads.com/book/show/1628198.Bifocal
The Kindness of Strangers		Bernard Taylor	3.76	17	4	{5: '3', 4: '8', 3: '5', 2: '1', 1: '0'}	When Shenna Preston, a young American movie star, abandons her film career and moves to London to study at art school, she anticipates a year full of nothing more eventful than painting. But tranquility turns to uncompromosing terror when a disturbed fan begins to haunt her life, and Shenna realizes that one of her acquaintances - indeed perhaps one of her closest friends - is a homicidal maniac, who will stop at nothing to possess her completely.	296	January 1st 1985			https://www.goodreads.com/book/show/5224847-the-kindness-of-strangers
چرند و پرند		علی‌اکبر دهخدا	3.74	586	61	{5: '166', 4: '179', 3: '179', 2: '47', 1: '15'}	الحمدلله به خیر گذشتحالا که فکر می کنم می بینم واقعاً چه آدم های با گذشتی بودند. نور به قبرشان ببارد. میرزا علی اکبر دهخدا را گذاشته بودند هرچه دلش می حواهد بنویسد. میرزا هم فرصت را غنیمت شمرده بود و چه حرف هایی که از خودش در نمی آورد. مثلاً می نوشت:در همه دنیا رسم است سال که به آخر رسید وقایع عمدۀ آن سال را در یک کتاب نوشته انتشار دهند.من از وقایعی که آن مرحوم از خود درآورده، به علت تنگی جا، محض نمونه یکی را می آورم:و هم در این سال یک نفر شاگرد قونسولگری اسلامبول که بعدها نفت فروشی می کرد و چند دفعه ورشکست شده، به اسلامبول رفته، باز به تهران آمده، باز به اسلامبول مراجعه کرده، باز به تهران بازگشته و باز به اسلامبول رجوع کرده، آخرش از تبریز سر درآورده (اما نفهمیدم بعد چطور شد).اگر فهمیده بودید باعث تعجب بود. این هم شد خبر؟ بقیه خبرهایش هم دست کمی از این ندارد. ولی چرا سری که درد نمی کند دستمال ببندیم. در جای دیگر هم، در همین چرند پرند خبر زیرا را از تبریز ظاهراً جعل کرده:بیست روز بود که مجاهدین از دو طرف سنگر بسته و با هم مشغول زد و خورد بودند… باری ده بیست روز بود که دکان ها بسته بود. ده بیست نفر هم از طرفین کشته شد. اما الحمدلله به خیر گذشت.در این نقل قول نقطه چین جای خالی جمله ای است که در نسخۀ چاپی من در واقع جمله نیست. حتماً دوست فاضل آقای ولی الله درودیان در این چاپ شسته رفته، ضارب و مضروب را مثل بسیاری مجهولات دیگر معلوم خواهند کرد. خداوند عاقبت همه را ختم به خیر کند.ضیاء موحد					https://www.goodreads.com/book/show/1330595._
Mindtronics! And Inquiry Alive!		William C. Bruce	0.00	0	0		"Discrepant Events take Science and Social Studies to their Highest Level of Meaning These two books offer two different kinds of maps for teachers. Inquiry Alive offers a detailed plan of how to turn average lessons into astonishing inquiry lessons through discrepant events. Visualize, the Inquiry Alive lessons as maps that lead students on treasure hunts. Each hunt starts with a discrepant event. The hidden prize ends in the ultimate reward: problem-solving skills and accumulated knowledge students can apply. Deeper Topic Understanding Most teachers say that it's the discrepant event lessons in Mindtronics that sway students to reject shallow topic knowledge. As the taste for foods other than candy changes, so changes the taste for introspective learning. Think of learning that comes from the relevancies surrounding an unexplained account brought to light through gathering more details, debate, questioning, clarification, and brainstorming. After a few Mindtronics' lessons, students prefer deeper topic understanding as they learn how to follow the more discerning discrepant event clues. Clues and ambiguity drive the momentum to solve a discrepancy. As students begin to solve a discrepant event, they start with the lowest levels of learning: memory and simple comprehension. As students process the logic steps and the conceivability tactics, in theory building, they go to the highest levels of meaning of any topic: synthesis and evaluation. Yet, discourse on method is never the focus. Mindtronics follows the! ""practice makes skill"" path from Inquiry Alive with demonstrative lessons. Cognitive Dissonance and Agreement The books' examples and exercises help students commit to and welcome learning. The lessons in Mindtronics are designed to help students quickly evolve from low diagnostic thinking efficiency to execute highly specific critical thinking tasks. Using resources, cooperative ideas, and supportive analysis students go from assumptions, to data explanations, to insight, to conclusions. Both the cognitive dissonance and agreement turn the seemingly dull scientific method into exciting, clearly defined ways to apply the inquiry of events and issues found in science and social studies. The judicious yet student-centered methods of learning, in Mindtronics and Inquiry Alive, help teachers and students bring Life to the most arcane of events or issues. YES! Non-reading Students can do Inquiry! Non-reading elementary school students may not know what the word investigate means; yet, they own great analytical skills. All students examine, consider, and probe given discrepant event information. Students also form views and try to discover more about the practical details of each discrepant event. Group Therapy By using the interactive cognitive methods in Mindtronics and Inquiry Alive, students shape and sharpen their organized thought. Students' carry familiar ways to explore information; that knowledge, added to the group teamwork to gather scientific investigation, brings a self-awareness and self-belief much akin to the group therapy given to at-risk children and adults. Signposts to Answers and Increased Choices Although non-reading students may need the teacher to read the discrepant events and fact sheets, the students weigh their own theories and other student theories. Students learn how their questioning muscle can mark signposts to answers. Questioning increases choices. Choices build reliable knowledge, given and found. Then students support the most promising logic offered by applying what they've learned. The Pulse of Theories and Guesses Students learn about the pulse of theories and guesses, about trials-and-errors, the refining of clarifications, and how to synthesize knowledge. They now understand and connect their new and old knowledge. A student's individual reflection brings the sharing of conclusions as the student links the knowledge their group learned during questioning and during research and deliberation. Spine-tingling Excitement No one book on inquiry should answer all your questions. An inquiry book should create more questions than it should answer. That ambiguity is what makes inquiry teaching and learning fun and exciting."					https://www.goodreads.com/book/show/929267.Mindtronics_And_Inquiry_Alive_
Nueva Biblia De Estudio Scofield: Version Ampliada; Reina-Valera 1960; Con Introducciones, notas ampliadas y actualizadas, un sistema de refrencias tematicas, cronologia e indices		['Cipriano De Valera', 'Anonymous']	4.38	26	1	{5: '18', 4: '5', 3: '0', 2: '1', 1: '2'}	Esta Biblia se basa en el texto tradicional de la Reina-Valera 1960 e incluye la interpretaci�n de la teolog�a dispensacional y escatolog�a que presentara originalmente el te�logo estadounidense Dr. C.I. Scofield (1843-1921). Caracterizticas: Introducci�n a secciones y libros, breve resumen de cada libro de la Biblia, subt�tulos en todo el texto b�blico, 1,700 Referencias a pie de p�gina, referencias en la columna central en el Antiguo Testamento, referencias en la columna lateral en el Nuevo Testamento, palabras de Cristo en rojo, Un sistema de referencias tem�ticas en cadena, �ndice de notas, gu�a a citas del Antiguo Testamento en el Nuevo Testamento, concordancia, mapas a cuatro colores, p�gina de presentaci�n y secci�n de registro familiar, caja para regalo de dos piezas.Based on the traditional RVR 1960 text, this Bible features the dispensational theology and eschatology first presented by American theologian Dr. C. I. Scofield (1843-1921). features of this Bible include: Introductions to sections and books, brief outline of each Bible book, subheadings throughout the text, 1,700 footnotes, center column references in the Old Testament, side column references in the New Testament, words of Christ in red, a system of subject chain references, index to annotations, guide to Old Testament quotations in the New Testament, concordance, four-color maps, presentation page and family records section, two-piece gift box.	1341	May 1st 2001			https://www.goodreads.com/book/show/601205.Nueva_Biblia_De_Estudio_Scofield
